"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",506774
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA ELECTRICA",490763
"PROFESOR HORAS CLASES","S/G","PROFESOR DE MATEMATICAS","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",718566
"PROFESOR HORAS CLASES","S/G","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","DPTO INGENIERIA OBRAS CIVILES",251534
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",522642
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","DPTO TRANSFERENCIA TECNOLOGICA",593503
"ADMINISTRATIVO","17","SECRETARIA DE SUBDIRECCION","SECRETARIA DE SUBDIRECCION","ESCUELA DE PSICOLOGIA",669343
"PROFESIONALES","10","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","FACULTAD DE INGENIERÍA",760768
"TECNICO","17","EJECUTIVA SECCION COBRANZAS","EJECUTIVA SECCION COBRANZAS","ADM.GRAL. FONDO SOLIDARIO CRED",605004
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",522642
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",400692
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",522642
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",522642
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","JEFE CARRERA LICENC. CS COMP","DPTO MAT. Y CS. DE LA COMP.",2997910
"PROFESIONALES","8","BIOLOGO","PROFESIONAL","VR INVEST. DESARR E INNOVACION",849857
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","DEPTO DE HISTORIA",196432
"PROFESIONALES","8","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","CITECAMP",1755192
"PROFESOR HORAS CLASES","S/G","INGENIERO AGRONOMO","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",210525
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA TIERRA Y MEDIO AMBIENTE. GEOESTADÍSTICA","ACADEMICO","DPTO INGENIERIA EN MINAS",3128764
"TECNICO","14","TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO","TECNICO ESPECIALIZADO","DPTO. QUIMICA DE LOS MATERIALE",820937
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL","HORAS CLASE","DPTO INGENIERIA OBRAS CIVILES",99337
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",200138
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO INGENIERIA MECANICA",256280
"PROFESOR HORAS CLASES","S/G","ABOGADO(A)","HORAS CLASE","DEPTO DE HISTORIA",191994
