"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",489881
"PROFESOR HORAS CLASES","S/G","PROFESOR DE MATEMATICAS","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",1078194
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA ELECTRICA",490763
"ADMINISTRATIVO","17","SECRETARIA DE SUBDIRECCION","SECRETARIA DE SUBDIRECCION","ESCUELA DE PSICOLOGIA",743634
"PROFESIONALES","10","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","FACULTAD DE INGENIERÍA",846092
"TECNICO","17","EJECUTIVA SECCION COBRANZAS","EJECUTIVA SECCION COBRANZAS","ADM.GRAL. FONDO SOLIDARIO CRED",727336
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","DPTO TRANSFERENCIA TECNOLOGICA",593503
"PROFESOR HORAS CLASES","S/G","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","DPTO INGENIERIA OBRAS CIVILES",251534
"PROFESOR HORAS CLASES","S/G","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","DPTO LINGUISTICA Y LITERATURA",163878
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","JEFE CARRERA LICENC. CS COMP","DPTO MAT. Y CS. DE LA COMP.",2997910
"PROFESIONALES","8","BIOLOGO","PROFESIONAL","VR INVEST. DESARR E INNOVACION",972189
"PROFESIONALES","8","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","CITECAMP",1822515
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","DEPTO DE HISTORIA",192726
"PROFESOR HORAS CLASES","S/G","PROFESOR DE FILOSOFIA","HORAS CLASE","FACULTAD DE CIENCIAS MEDICAS",315883
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA TIERRA Y MEDIO AMBIENTE. GEOESTADÍSTICA","ACADEMICO","DPTO INGENIERIA EN MINAS",3107652
"PROFESOR HORAS CLASES","S/G","INGENIERO AGRONOMO","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",299308
"TECNICO","14","TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO","TECNICO ESPECIALIZADO","DPTO. QUIMICA DE LOS MATERIALE",943269
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",289501
"ACADEMICOS","6","INGENIERO CIVIL EN MECANICA","ACADEMICO","VICERRECTORIA ACADÉMICA",2671870
"ACADEMICOS","6","MEDICO CIRUJANO","ACADEMICO","ESCUELA DE MEDICINA",2653790
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",217125
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",296182
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",72374
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",1342896
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",308485
"PROFESOR HORAS CLASES","S/G","MAGISTER EN HISTORIA EN LA MENCION DE HISTORIA DE CHILE","HORAS CLASE","DEPTO DE HISTORIA",191994
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO INGENIERIA MECANICA",256280
"PROFESOR HORAS CLASES","S/G","TERAPEUTA OCUPACIONAL","HORAS CLASE","FACULTAD DE CIENCIAS MEDICAS",161283
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",577204
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",696073
"TECNICO","12","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","DEPTO DE HISTORIA",914127
"ADMINISTRATIVO","17","SECRETARIO B","SECRETARIO B","DPTO DE ECONOMIA",727336
"ADMINISTRATIVO","16","TECNICO AUDIOVISUAL","TECNICO AUDIOVISUAL","VR. VINCULACION CON EL MEDIO",964523
"ADMINISTRATIVO","18","SECRETARIA ADMINISTRATIVA","SECRETARIA ADMINISTRATIVA","CENTRO DE INTEGR ING SOCIEDAD",740616
"TECNICO","13","TECNICO EN ADMINISTRACION DE EMPRESAS","TECNICO CONTABLE","DEPTO. DE FINANZAS Y TESORERIA",843669
"PROFESOR HORAS CLASES","S/G","ACTOR / ACTRIZ","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",366309
"TECNICO","19","ASISTENTE DE MANTENCION","ASISTENTE DE MANTENCION","UNIDAD BIENESTAR DEL PERSONAL",745045
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO DE ADMINISTRACION",423661
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO DE ADMINISTRACION",196432
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",294648
"ACADEMICOS","4","DOUTOR EM ENGENHARIA ELETRICA","ACADEMICO","DPTO INGENIERIA ELECTRICA",3170986
"PROFESIONALES","10","MAGISTER EN INGENIERIA INFORMATICA","ANALISTA INFORMATICO","DPTO INGENIERIA INFORMATICA",1608333
"TECNICO","17","TECNICO","TECNICO","DEPTO. DE FINANZAS Y TESORERIA",761840
"PROFESOR HORAS CLASES","S/G","MAGISTER EN INGENIERIA INFORMATICA","ANALISTA INFORMATICO","DPTO INGENIERIA INFORMATICA",392866
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS GENERALES",231968
"PROFESIONALES","10","PROFESIONAL","PROFESIONAL","DEPTO. DESARROLLO DE PERSONAS",1475252
"PROFESIONALES","6","PROFESIONAL","PROFESIONAL","VR. VINCULACION CON EL MEDIO",2096648
"PROFESIONALES","8","PERIODISTA","PERIODISTA","DEPARTAMENTO DE ESTUDIOS",2142518
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN MINAS","HORAS CLASE","DPTO INGENIERIA EN MINAS",429221
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","ACADEMICO","DPTO INGENIERIA ELECTRICA",3213208
"AUXILIARES","23","AUXILIAR","AUXILIAR","DIR. ASISTENCIA JURIDICA",489881
"ADMINISTRATIVO","17","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","FACULTAD DE QUIMICA Y BIOLOGIA",736928
"PROFESIONALES","13","PROFESIONAL","PROFESIONAL","DPTO DE GESTIÓN DE LA INFRAEST",1188565
"PROFESOR HORAS CLASES","S/G","CONTADOR PUBLICO Y AUDITOR","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",619108
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",314326
"PROFESOR HORAS CLASES","S/G","DOCTOR EN CIENCIAS DE LA INFORMACION","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",1121866
