source;landing_page
estudiante;5.42
estudiante;3.99
estudiante;4.21
estudiante;5.74
estudiante;3.84
estudiante;3.82
estudiante;3.88
estudiante;3.71
estudiante;3.86
estudiante;3.88
estudiante;3.85
estudiante;4.03
estudiante;4.31
estudiante;3.82
estudiante;3.9
estudiante;3.98
estudiante;4.07
estudiante;3.78
estudiante;4.24
estudiante;4.21
estudiante;4.36
estudiante;4.02
estudiante;4.1
estudiante;3.53
estudiante;4.16
estudiante;3.32
estudiante;4.46
estudiante;3.86
estudiante;3.68
estudiante;4.02
estudiante;4.24
estudiante;4.47
estudiante;4.1
estudiante;6.9
estudiante;3.54
estudiante;3.6
estudiante;4.17
estudiante;4.33
estudiante;3.44
estudiante;3.96
estudiante;3.48
estudiante;3.52
estudiante;3.94
estudiante;3.61
otras webs;3.26
otras webs;1.63
otras webs;1.34
otras webs;1.4
otras webs;1.01
otras webs;3.26
otras webs;1.63
otras webs;1.34
otras webs;1.4
otras webs;1.01
