Country;Spend_health_US;year_expectative
Mexico;1075.708857;75.03244665
Latvia;1493.715288;74.62087109
Hungary;1961.780181;75.74042678
Slovac Republic;2092.955276;76.71616486
Estonia;1929.991231;77.68781058
Turkey;881.3212511;78.02104648
Czech Republic;2523.019585;78.60040924
Chile;1895.644548;79.14820228
Slovenia;2830.678164;81.17860275
Greece;2326.439638;81.17158726
Israel;2541.289097;82.07892429
Spain;3259.646302;82.85413622
Italy;3425.89886;82.50862321
Finland;4216.237942;80.98918445
Australia;4518.050278;82.45425314
Japan;4609.763227;83.91639871
Sweden;5273.311897;82.25606548
Ireland;5310.947091;81.42180649
Belgium;4720.841859;81.06577024
Austria;5432.987431;80.65828705
Denmark;6282.885121;82.47880737
Luxembourg;6996.857644;82.41917568
Switzerland;7588.059047;82.98392283
United States;9541.800643;78.97632271
